word	instruction	tone	response
XXXX	cr	lo.wav	j
XXXX	cr	lo.wav	j
OPINION	r	lo.wav	j
PARK	f	hi.wav	j
XXXXXXXX	cf	hi.wav	j
XXXXX	cr	lo.wav	j
UPSET	r	lo.wav	j
XXXX	cf	hi.wav	j
UNIT	r	lo.wav	j
XXXXXX	cf	hi.wav	j
XXXXX	cr	lo.wav	j
XXXXX	cf	hi.wav	j
XXXXX	cf	hi.wav	j
XXXXXX	cr	lo.wav	j
XXXX	cf	hi.wav	j
XXXXX	cf	hi.wav	j
XXXXX	cf	hi.wav	j
ELEVATOR	r	lo.wav	j
EQUAL	r	lo.wav	j
CROP	r	lo.wav	j
LAST	r	lo.wav	j
DETAIL	f	hi.wav	j
YOUTH	f	hi.wav	j
INPUT	f	hi.wav	j
GOLF	r	lo.wav	j
QUARTER	f	hi.wav	j
XXXX	cf	hi.wav	j
XXXXX	cr	lo.wav	j
DEAR	r	lo.wav	j
ADVICE	r	lo.wav	j
GHOST	r	lo.wav	j
XXXXXXX	cf	hi.wav	j
LIFT	r	lo.wav	j
XXXXX	cf	hi.wav	j
QUALITY	f	hi.wav	j
XXXX	cf	hi.wav	j
GLANCE	f	hi.wav	j
XXXXXXX	cf	hi.wav	j
FAIR	r	lo.wav	j
ADDITION	r	lo.wav	j
GALLERY	f	hi.wav	j
XXXX	cr	lo.wav	j
NAME	r	lo.wav	j
JEEP	f	hi.wav	j
XXXXXXXX	cr	lo.wav	j
XXXXX	cf	hi.wav	j
HAWK	f	hi.wav	j
XXXXXX	cf	hi.wav	j
XXXXXXX	cr	lo.wav	j
XXXXXXXX	cr	lo.wav	j
ADULT	f	hi.wav	j
XXXXXXXX	cr	lo.wav	j
CURRENCY	r	lo.wav	j
XXXXX	cf	hi.wav	j
GANG	r	lo.wav	j
YARD	r	lo.wav	j
GRAB	r	lo.wav	j
XXXXXX	cf	hi.wav	j
RACE	f	hi.wav	j
XXXX	cr	lo.wav	j
XXXX	cr	lo.wav	j
WINDOW	f	hi.wav	j
XXXX	cf	hi.wav	j
XXXX	cr	lo.wav	j
XXXX	cf	hi.wav	j
XXXXXXXX	cf	hi.wav	j
XXXXX	cf	hi.wav	j
XXXXX	cr	lo.wav	j
CROSS	f	hi.wav	j
GATE	r	lo.wav	j
JUSTICE	r	lo.wav	j
XXXXXX	cf	hi.wav	j
XXXXX	cr	lo.wav	j
XXXXX	cr	lo.wav	j
XXXXX	cf	hi.wav	j
XXXXXX	cf	hi.wav	j
OCCASION	r	lo.wav	j
OPPONENT	r	lo.wav	j
XXXX	cr	lo.wav	j
XXXXXX	cr	lo.wav	j
ONION	f	hi.wav	j
TAIL	f	hi.wav	j
LABEL	f	hi.wav	j
ZERO	f	hi.wav	j
XXXXXXX	cr	lo.wav	j
XXXXX	cf	hi.wav	j
IRONY	r	lo.wav	j
XXXX	cr	lo.wav	j
XXXXXXX	cr	lo.wav	j
XXXXXXX	cr	lo.wav	j
KNIGHT	f	hi.wav	j
XXXX	cr	lo.wav	j
GROUND	f	hi.wav	j
XXXXXXXX	cr	lo.wav	j
SURFACE	f	hi.wav	j
XXXXXXX	cf	hi.wav	j
ACTOR	f	hi.wav	j
CREST	f	hi.wav	j
IMPULSE	f	hi.wav	j
INCOME	f	hi.wav	j
FRUIT	r	lo.wav	j
XXXXXXX	cf	hi.wav	j
WOOL	f	hi.wav	j
XXXXXXX	cf	hi.wav	j
GATHER	f	hi.wav	j
GRASS	f	hi.wav	j
XXXX	cf	hi.wav	j
RAIN	f	hi.wav	j
KINGDOM	r	lo.wav	j
KNOCK	f	hi.wav	j
XXXXXX	cf	hi.wav	j
XXXXX	cf	hi.wav	j
VEHICLE	f	hi.wav	j
XXXXX	cf	hi.wav	j
NERVE	f	hi.wav	j
JOINT	f	hi.wav	j
VENT	r	lo.wav	j
IMPACT	r	lo.wav	j
XXXX	cr	lo.wav	j
XXXX	cr	lo.wav	j
XXXXXX	cf	hi.wav	j
XXXXXXX	cf	hi.wav	j
XXXXXX	cr	lo.wav	j
XXXX	cr	lo.wav	j
TALENT	r	lo.wav	j
TEACHER	f	hi.wav	j
XXXXXXX	cf	hi.wav	j
WISE	f	hi.wav	j
UTILITY	r	lo.wav	j
LACK	r	lo.wav	j
ABILITY	f	hi.wav	j
GOSSIP	f	hi.wav	j
XXXX	cf	hi.wav	j
XXXXXX	cf	hi.wav	j
LAUGH	r	lo.wav	j
GLOBE	r	lo.wav	j
MONUMENT	r	lo.wav	j
XXXXXXX	cr	lo.wav	j
XXXX	cr	lo.wav	j
XXXXXXX	cf	hi.wav	j
QUICK	r	lo.wav	j
ELBOW	r	lo.wav	j
XXXX	cr	lo.wav	j
XXXXXXX	cf	hi.wav	j
PROSE	r	lo.wav	j
JUDGE	f	hi.wav	j
OPERA	r	lo.wav	j
XXXXXX	cr	lo.wav	j
XXXXX	cr	lo.wav	j
XXXXX	cr	lo.wav	j
XXXXX	cr	lo.wav	j
XXXXX	cr	lo.wav	j
XXXXX	cf	hi.wav	j
LENGTH	r	lo.wav	j
XXXX	cf	hi.wav	j
XXXX	cf	hi.wav	j
XXXXXXX	cf	hi.wav	j
XXXXXXX	cr	lo.wav	j
LAMP	f	hi.wav	j
VICTORY	r	lo.wav	j
XXXXX	cr	lo.wav	j
