word	instruction	tone	response
XXXXX	cr	lo.wav	j
XXXXX	cr	lo.wav	j
CROP	r	lo.wav	j
ELBOW	r	lo.wav	j
OPINION	r	lo.wav	j
IMPACT	r	lo.wav	j
XXXXXXX	cf	hi.wav	j
ONSET	r	lo.wav	j
XXXXXXXX	cr	lo.wav	j
XXXX	cr	lo.wav	j
RAIN	f	hi.wav	j
XXXXXXX	cr	lo.wav	j
LABEL	f	hi.wav	j
XXXXXX	cf	hi.wav	j
JOURNAL	r	lo.wav	j
XXXXX	cf	hi.wav	j
XXXX	cf	hi.wav	j
XXXX	cf	hi.wav	j
VICTORY	r	lo.wav	j
XXXXXXXX	cr	lo.wav	j
XXXXXXX	cf	hi.wav	j
XXXX	cf	hi.wav	j
NEEDLE	f	hi.wav	j
XXXXX	cr	lo.wav	j
OPPONENT	r	lo.wav	j
LACK	r	lo.wav	j
SYSTEM	r	lo.wav	j
JUNIOR	f	hi.wav	j
XXXXXX	cf	hi.wav	j
LIFT	r	lo.wav	j
XXXXXXXX	cf	hi.wav	j
GEAR	r	lo.wav	j
XXXX	cf	hi.wav	j
XXXXX	cf	hi.wav	j
VEHICLE	f	hi.wav	j
ADULT	f	hi.wav	j
GATE	r	lo.wav	j
OCEAN	r	lo.wav	j
YIELD	f	hi.wav	j
TEACHER	f	hi.wav	j
XXXX	cf	hi.wav	j
XXXXXX	cf	hi.wav	j
JUDGE	f	hi.wav	j
XXXXXX	cr	lo.wav	j
XXXXXXX	cf	hi.wav	j
WISE	f	hi.wav	j
XXXXXXX	cr	lo.wav	j
XXXXX	cf	hi.wav	j
XXXXX	cr	lo.wav	j
XXXX	cr	lo.wav	j
YARD	r	lo.wav	j
XXXX	cf	hi.wav	j
MONUMENT	r	lo.wav	j
ABSENCE	f	hi.wav	j
UPSET	r	lo.wav	j
XXXXX	cf	hi.wav	j
XXXXXXX	cr	lo.wav	j
XXXX	cr	lo.wav	j
XXXXX	cr	lo.wav	j
GLOBE	r	lo.wav	j
XXXX	cf	hi.wav	j
XXXXX	cr	lo.wav	j
XXXXX	cr	lo.wav	j
XXXX	cr	lo.wav	j
XXXXXXX	cr	lo.wav	j
INCOME	f	hi.wav	j
XXXX	cr	lo.wav	j
GALLERY	f	hi.wav	j
NAME	r	lo.wav	j
EQUAL	r	lo.wav	j
LAUGH	r	lo.wav	j
GRAB	r	lo.wav	j
JEEP	f	hi.wav	j
XXXXXXX	cf	hi.wav	j
XXXXX	cr	lo.wav	j
XXXXX	cf	hi.wav	j
ACTOR	f	hi.wav	j
XXXXX	cf	hi.wav	j
XXXX	cf	hi.wav	j
LEASE	r	lo.wav	j
XXXX	cr	lo.wav	j
XXXX	cr	lo.wav	j
XXXXXXX	cr	lo.wav	j
UNIT	r	lo.wav	j
NEUTRAL	r	lo.wav	j
XXXX	cr	lo.wav	j
RABBIT	f	hi.wav	j
XXXX	cr	lo.wav	j
IRONY	r	lo.wav	j
USAGE	f	hi.wav	j
MORAL	r	lo.wav	j
CREST	f	hi.wav	j
XXXXX	cf	hi.wav	j
XXXXXXX	cr	lo.wav	j
XXXXX	cr	lo.wav	j
XXXXX	cr	lo.wav	j
XXXXX	cf	hi.wav	j
KINGDOM	r	lo.wav	j
XXXXXXX	cf	hi.wav	j
XXXX	cf	hi.wav	j
VENT	r	lo.wav	j
ZERO	f	hi.wav	j
XXXXXXXX	cr	lo.wav	j
UTILITY	r	lo.wav	j
HAWK	f	hi.wav	j
XXXX	cr	lo.wav	j
XXXX	cf	hi.wav	j
GOLF	r	lo.wav	j
DEAR	r	lo.wav	j
IMPULSE	f	hi.wav	j
QUICK	r	lo.wav	j
XXXX	cr	lo.wav	j
XXXXX	cf	hi.wav	j
OPERA	r	lo.wav	j
XXXXXX	cf	hi.wav	j
XXXXXX	cf	hi.wav	j
IMAGE	f	hi.wav	j
QUARTER	f	hi.wav	j
XXXXX	cr	lo.wav	j
FAIR	r	lo.wav	j
GLANCE	f	hi.wav	j
XXXXX	cf	hi.wav	j
XXXXX	cr	lo.wav	j
XXXXXXX	cf	hi.wav	j
GHOST	r	lo.wav	j
GOSSIP	f	hi.wav	j
JOKE	r	lo.wav	j
XXXXXX	cf	hi.wav	j
TALK	r	lo.wav	j
SURFACE	f	hi.wav	j
XXXXXXX	cf	hi.wav	j
XXXXX	cf	hi.wav	j
XXXX	cf	hi.wav	j
ABILITY	f	hi.wav	j
JOINT	f	hi.wav	j
AMOUNT	r	lo.wav	j
XXXX	cf	hi.wav	j
ONION	f	hi.wav	j
XXXX	cf	hi.wav	j
XXXXXX	cr	lo.wav	j
CROSS	f	hi.wav	j
YOUTH	f	hi.wav	j
XXXXX	cf	hi.wav	j
XXXXX	cr	lo.wav	j
DEBT	r	lo.wav	j
NERVE	f	hi.wav	j
XXXXXXXX	cr	lo.wav	j
XXXXX	cf	hi.wav	j
XXXX	cr	lo.wav	j
XXXXXX	cf	hi.wav	j
INPUT	f	hi.wav	j
XXXXXXX	cf	hi.wav	j
